0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:07:47 +0900] "GET /study/board/updated.jsp?num=39&pageNum=1 HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:09:13 +0900] "GET /study/board/updated.jsp?num=39&pageNum=1 HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:09:35 +0900] "GET /study/board/updated.jsp?num=39&pageNum=1 HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:09:59 +0900] "GET /study/board/article.jsp?searchKey=subject&searchValue=%ED%8C%A8%EC%8A%A4&pageNum=1&num=39 HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:09:59 +0900] "GET /study/board/article.jsp?searchKey=subject&searchValue=%ED%8C%A8%EC%8A%A4&pageNum=1&num=39 HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:09:59 +0900] "GET /study/board/article.jsp?searchKey=subject&searchValue=%ED%8C%A8%EC%8A%A4&pageNum=1&num=39 HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:09:59 +0900] "GET /study/board/article.jsp?searchKey=subject&searchValue=%ED%8C%A8%EC%8A%A4&pageNum=1&num=39 HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:10:01 +0900] "GET /study/board/updated.jsp?num=39&pageNum=1&searchKey=subject&searchValue=%ED%8C%A8%EC%8A%A4 HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:10:08 +0900] "POST /study/board/updated_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Feb/2022:12:10:08 +0900] "GET /study/board/list.jsp?pageNum=1&searchKey=subject&searchValue=%ED%8C%A8%EC%8A%A4 HTTP/1.1" 200 2130
